Dimension,Probability,No_of_blocks,Density,Total_Cells_Discovered,Manhattan_outcome,Manhattan_Trajectory_length,Manhattan_Actual_length,Time_taken
101,0.13,1292,0.12665424958337418,31,1,205.0,201.0,1.505281925201416
101,0.13,1333,0.13067346338594255,5,1,209.0,201.0,0.892869234085083
101,0.13,1393,0.1365552396823841,6,1,209.0,201.0,1.922145128250122
101,0.13,1341,0.1314577002254681,6,1,207.0,201.0,1.579552412033081
101,0.13,1405,0.1377315949416724,20,1,227.0,201.0,1.3656952381134033
101,0.13,1327,0.1300852857562984,7,1,209.0,201.0,1.1264207363128662
101,0.13,1287,0.12616410155867072,6,1,225.0,201.0,2.061032295227051
101,0.13,1312,0.128614841682188,5,1,211.0,201.0,1.2826037406921387
101,0.13,1387,0.13596706205273992,6,1,221.0,201.0,1.6405928134918213
101,0.13,1324,0.12979119694147634,8,1,215.0,201.0,2.199103832244873
101,0.13,1295,0.12694833839819625,6,1,211.0,201.0,1.8261408805847168
101,0.13,1331,0.13047740417606116,26,1,211.0,201.0,1.1040427684783936
101,0.13,1341,0.1314577002254681,6,1,211.0,201.0,1.371368169784546
101,0.13,1294,0.12685030879325557,8,1,211.0,201.0,0.9425139427185059
101,0.13,1323,0.12969316733653563,4,1,215.0,201.0,1.0332322120666504
101,0.13,1348,0.13214390746005295,10,1,213.0,201.0,1.5129520893096924
101,0.13,1322,0.12959513773159495,15,1,205.0,201.0,0.8816063404083252
101,0.13,1320,0.12939907852171356,8,1,215.0,201.0,1.4959614276885986
101,0.13,1274,0.12488971669444172,4,1,211.0,201.0,1.4441020488739014
101,0.13,1370,0.13430055876874816,16,1,215.0,201.0,1.323498249053955
101,0.13,1333,0.13067346338594255,10,1,207.0,201.0,1.3453993797302246
101,0.13,1248,0.12234094696598373,32,1,215.0,201.0,1.3832967281341553
101,0.13,1299,0.12734045681795902,24,1,227.0,201.0,1.7024965286254883
101,0.13,1340,0.1313596706205274,18,1,217.0,201.0,1.2156507968902588
101,0.13,1380,0.13528085481815508,17,1,213.0,201.0,1.3346178531646729
101,0.13,1380,0.13528085481815508,2,0,,,0.2955503463745117
101,0.17,1757,0.172238015880796,7,1,231.0,201.0,2.6545662879943848
101,0.17,1745,0.17106166062150768,4,1,229.0,201.0,2.2005202770233154
101,0.17,1789,0.17537496323889815,20,1,235.0,201.0,2.6237406730651855
101,0.17,1727,0.16929712773257524,13,1,217.0,201.0,3.342395067214966
101,0.17,1715,0.16812077247328694,24,1,209.0,201.0,1.4412119388580322
101,0.17,1742,0.17076757180668561,11,1,207.0,201.0,3.569075584411621
101,0.17,1761,0.17263013430055876,210,0,,,2.318842887878418
101,0.17,1724,0.16900303891775317,3,0,,,0.26769328117370605
101,0.17,1764,0.17292422311538083,12,1,209.0,201.0,1.3342316150665283
101,0.17,1728,0.16939515733751592,15,1,241.0,201.0,1.14540696144104
101,0.17,1746,0.1711596902264484,10,1,207.0,201.0,1.5109245777130127
101,0.17,1752,0.17174786785609253,6,1,231.0,201.0,2.3002219200134277
101,0.17,1729,0.16949318694245663,10,1,225.0,201.0,2.0909628868103027
101,0.17,1728,0.16939515733751592,34,1,239.0,201.0,2.271519184112549
101,0.17,1713,0.16792471326340555,138,0,,,2.470094919204712
101,0.17,1782,0.1746887560043133,1,0,,,0.29920029640197754
101,0.17,1804,0.17684540731300852,19,1,243.0,201.0,2.738105058670044
101,0.17,1738,0.17037545338692284,15,1,211.0,201.0,1.8989205360412598
101,0.17,1709,0.16753259484364277,12,1,213.0,201.0,1.5910122394561768
101,0.17,1784,0.1748848152141947,170,0,,,2.228691339492798
101,0.17,1678,0.16449367709048132,7,1,215.0,201.0,1.9797027111053467
101,0.17,1771,0.17361043034996568,26,1,255.0,201.0,1.6615221500396729
101,0.17,1724,0.16900303891775317,13,1,221.0,201.0,1.871718406677246
101,0.17,1749,0.17145377904127046,8,1,217.0,201.0,1.1065986156463623
101,0.17,1767,0.17321831193020293,11,1,229.0,201.0,2.8568289279937744
101,0.17,1738,0.17037545338692284,6,1,237.0,201.0,1.8959765434265137
101,0.17,1717,0.16831683168316833,1,0,,,0.3251340389251709
101,0.17,1752,0.17174786785609253,4,1,217.0,201.0,1.7095921039581299
101,0.17,1728,0.16939515733751592,6,1,219.0,201.0,1.2626309394836426
101,0.17,1700,0.16665032839917654,12,1,231.0,201.0,2.961554527282715
101,0.17,1769,0.17341437114008432,12,1,213.0,201.0,2.0255775451660156
101,0.17,1701,0.16674835800411725,5,1,261.0,201.0,1.7987022399902344
101,0.17,1717,0.16831683168316833,8,1,223.0,201.0,2.225013494491577
101,0.17,1732,0.1697872757572787,39,1,217.0,201.0,1.125990629196167
101,0.17,1737,0.17027742378198216,18,1,231.0,201.0,1.890120029449463
101,0.17,1764,0.17292422311538083,4,1,255.0,201.0,3.2054123878479004
101,0.17,1764,0.17292422311538083,18,1,233.0,201.0,1.783198356628418
101,0.17,1716,0.16821880207822762,13,1,219.0,201.0,1.7463674545288086
101,0.17,1749,0.17145377904127046,198,0,,,1.7523279190063477
101,0.17,1744,0.170963631016567,10,1,247.0,201.0,2.678865432739258
101,0.17,1787,0.17517890402901676,6,1,223.0,201.0,1.8054702281951904
101,0.17,1694,0.1660621507695324,15,1,213.0,201.0,1.975970983505249
101,0.17,1751,0.17164983825115185,3,1,213.0,201.0,1.045203685760498
101,0.17,1677,0.16439564748554064,24,1,225.0,201.0,1.0472373962402344
101,0.17,1724,0.16900303891775317,8,1,247.0,201.0,2.344696521759033
101,0.17,1694,0.1660621507695324,7,1,219.0,201.0,2.1273112297058105
101,0.17,1734,0.1699833349671601,22,1,229.0,201.0,1.6097030639648438
101,0.17,1787,0.17517890402901676,6,1,227.0,201.0,1.4261856079101562
101,0.17,1611,0.15792569355945496,11,1,213.0,201.0,1.9188692569732666
101,0.17,1766,0.17312028232526222,10,1,223.0,201.0,2.2599222660064697
101,0.21,2174,0.2131163611410646,1,0,,,0.21741819381713867
101,0.21,2105,0.20635231840015686,33,1,261.0,201.0,1.98067307472229
101,0.21,2165,0.21223409469659837,7,1,237.0,201.0,1.8271124362945557
101,0.21,2183,0.21399862758553084,8,1,247.0,201.0,2.5591907501220703
101,0.21,2150,0.210763650622488,7,1,241.0,201.0,3.8466787338256836
101,0.21,2087,0.2045877855112244,7,1,239.0,201.0,1.9568145275115967
101,0.21,2169,0.21262621311636115,8,1,247.0,203.0,1.4291434288024902
101,0.21,2186,0.2142927164003529,17,1,227.0,201.0,3.210411548614502
101,0.21,2060,0.20194098617782572,9,1,239.0,201.0,2.13130784034729
101,0.21,2143,0.21007744338790316,6,1,247.0,201.0,2.4574265480041504
101,0.21,2132,0.20899911773355553,137,0,,,3.319575309753418
101,0.21,2031,0.19909812763454562,15,1,265.0,201.0,2.6070616245269775
101,0.21,2161,0.2118419762768356,10,1,235.0,201.0,2.5212600231170654
101,0.21,2130,0.20880305852367415,7,1,259.0,201.0,2.4544904232025146
101,0.21,2192,0.21488089402999705,5,1,243.0,201.0,3.346050500869751
101,0.21,2190,0.2146848348201157,24,1,239.0,201.0,3.0877084732055664
101,0.21,2148,0.21056759141260661,18,1,273.0,201.0,2.7895750999450684
101,0.21,2152,0.21095970983236936,6,1,223.0,201.0,1.4740586280822754
101,0.21,2111,0.206940496029801,12,1,237.0,201.0,1.386157512664795
101,0.21,2162,0.2119400058817763,25,1,249.0,201.0,2.1442582607269287
101,0.21,2283,0.22380158807960004,19,1,239.0,201.0,2.526510000228882
101,0.21,2107,0.20654837761003822,7,1,249.0,201.0,3.2504093647003174
101,0.21,2148,0.21056759141260661,19,1,233.0,201.0,2.471803903579712
101,0.21,2151,0.21086168022742868,19,1,239.0,201.0,2.256655216217041
101,0.21,2144,0.21017547299284384,10,1,265.0,203.0,2.9140772819519043
101,0.21,2152,0.21095970983236936,18,1,249.0,201.0,2.307826280593872
101,0.21,2060,0.20194098617782572,5,1,225.0,201.0,2.6252667903900146
101,0.21,2166,0.21233212430153905,8,1,239.0,201.0,1.9667742252349854
101,0.21,2245,0.22007646309185375,9,1,231.0,201.0,2.4294698238372803
101,0.21,2204,0.21605724928928535,7,1,217.0,201.0,2.425797939300537
101,0.21,2154,0.21115576904225075,11,1,229.0,201.0,1.404212474822998
101,0.21,2191,0.21478286442505637,31,1,243.0,201.0,2.3766772747039795
101,0.21,2149,0.2106656210175473,213,0,,,2.6833906173706055
101,0.21,2167,0.21243015390647976,22,1,259.0,201.0,1.7303352355957031
101,0.21,2078,0.20370551906675816,5,1,239.0,201.0,2.343951463699341
101,0.21,2158,0.21154788746201353,68,1,219.0,201.0,1.7522003650665283
101,0.21,2147,0.2104695618076659,13,1,235.0,201.0,2.7463371753692627
101,0.21,2133,0.20909714733849621,33,1,217.0,201.0,2.115339517593384
101,0.21,2162,0.2119400058817763,30,1,237.0,201.0,3.305123805999756
101,0.21,2139,0.20968532496814038,6,1,263.0,201.0,2.779533624649048
101,0.21,2145,0.21027350259778452,10,1,243.0,201.0,3.1605119705200195
101,0.21,2143,0.21007744338790316,7,1,261.0,201.0,1.8470263481140137
101,0.21,2131,0.20890108812861485,12,1,223.0,201.0,2.5302345752716064
101,0.21,2182,0.21390059798059013,18,1,213.0,201.0,2.3626461029052734
101,0.21,2136,0.2093912361533183,8,1,249.0,201.0,2.829434871673584
101,0.21,2150,0.210763650622488,10,1,245.0,201.0,2.3446946144104004
101,0.21,2186,0.2142927164003529,13,1,237.0,201.0,2.0205934047698975
101,0.21,2147,0.2104695618076659,10,1,225.0,201.0,2.370626211166382
101,0.21,2118,0.20762670326438584,8,1,231.0,201.0,1.868044137954712
101,0.21,2181,0.21380256837564945,14,1,275.0,201.0,2.2230491638183594
101,0.25,2457,0.24085873933928045,6,1,285.0,201.0,3.3231191635131836
101,0.25,2580,0.2529163807469856,12,1,235.0,201.0,2.0704286098480225
101,0.25,2545,0.24948534457406138,1,0,,,0.22739458084106445
101,0.25,2532,0.24821095970983237,202,0,,,2.9341909885406494
101,0.25,2492,0.24428977551220468,4,0,,,0.4478018283843994
101,0.25,2555,0.25046564062346827,7,1,261.0,201.0,2.9880075454711914
101,0.25,2512,0.24625036761101854,15,1,271.0,201.0,3.000976800918579
101,0.25,2549,0.24987746299382413,10,0,,,0.37702488899230957
101,0.25,2586,0.2535045583766297,13,1,273.0,201.0,4.0233681201934814
101,0.25,2626,0.25742574257425743,201,0,,,3.886680841445923
101,0.25,2534,0.24840701891971376,3,1,245.0,201.0,2.917447805404663
101,0.25,2478,0.242917361043035,7,1,229.0,201.0,1.307507038116455
101,0.25,2586,0.2535045583766297,6,1,339.0,201.0,3.1974475383758545
101,0.25,2542,0.24919125575923928,6,1,253.0,201.0,3.0079193115234375
101,0.25,2616,0.2564454465248505,12,1,239.0,201.0,3.6124606132507324
101,0.25,2585,0.25340652877168907,7,1,263.0,201.0,1.9705541133880615
101,0.25,2516,0.2466424860307813,7,1,261.0,201.0,2.2639431953430176
101,0.25,2541,0.2490932261542986,25,1,231.0,203.0,2.0245542526245117
101,0.25,2505,0.2455641603764337,10,1,209.0,201.0,3.1934571266174316
101,0.25,2507,0.24576021958631505,186,0,,,3.491997003555298
101,0.25,2613,0.25615135771002845,26,1,303.0,201.0,2.433525800704956
101,0.25,2494,0.24448583472208607,3,1,247.0,201.0,2.0625197887420654
101,0.25,2550,0.24997549259876484,2,0,,,0.2323780059814453
101,0.25,2558,0.2507597294382904,19,1,285.0,201.0,2.9391374588012695
101,0.25,2522,0.24723066366042545,3,1,221.0,201.0,3.249309778213501
101,0.25,2524,0.24742672287030684,10,1,267.0,201.0,3.063838481903076
101,0.25,2536,0.24860307812959515,4,0,,,0.45378947257995605
101,0.25,2421,0.23732967356141554,5,1,275.0,201.0,3.8865699768066406
101,0.25,2568,0.2517400254876973,6,1,329.0,205.0,5.605011224746704
101,0.25,2584,0.25330849916674836,4,1,239.0,201.0,2.052476644515991
101,0.25,2438,0.2389961768454073,5,1,225.0,201.0,2.428473711013794
101,0.25,2593,0.25419076561121456,153,0,,,4.2318785190582275
101,0.25,2537,0.24870110773453583,13,1,265.0,201.0,3.2764594554901123
101,0.25,2421,0.23732967356141554,6,1,243.0,201.0,1.803973913192749
101,0.25,2600,0.2548769728457994,8,1,279.0,201.0,3.1513781547546387
101,0.25,2614,0.2562493873149691,5,1,221.0,201.0,2.50999116897583
101,0.25,2578,0.2527203215371042,3,1,259.0,201.0,2.2878878116607666
101,0.25,2602,0.2550730320556808,17,1,267.0,201.0,2.429363965988159
101,0.25,2569,0.25183805509263796,13,1,265.0,201.0,2.8536767959594727
101,0.25,2583,0.25321046956180765,10,1,281.0,201.0,2.870166540145874
101,0.25,2587,0.2536025879815704,10,1,263.0,203.0,2.6356568336486816
101,0.25,2480,0.24311342025291638,25,1,247.0,201.0,2.5422041416168213
101,0.25,2542,0.24919125575923928,8,1,273.0,201.0,3.1206209659576416
101,0.25,2529,0.2479168708950103,4,1,263.0,201.0,3.078731060028076
101,0.25,2553,0.2502695814135869,24,1,263.0,201.0,2.8194923400878906
101,0.25,2584,0.25330849916674836,18,1,299.0,203.0,3.1425952911376953
101,0.25,2611,0.25595529850014703,2,0,,,0.23038578033447266
101,0.25,2620,0.2568375649446133,9,1,271.0,201.0,3.5216140747070312
101,0.25,2561,0.25105381825311246,23,1,279.0,201.0,3.213449716567993
101,0.25,2562,0.2511518478580531,11,1,301.0,201.0,2.5790696144104004
101,0.29,2945,0.2886971865503382,3,1,325.0,201.0,3.3500382900238037
101,0.29,3013,0.29536319968630526,289,0,,,4.944244384765625
101,0.29,3045,0.2985001470444074,206,0,,,5.622332572937012
101,0.29,2976,0.29173610430349967,16,1,295.0,201.0,2.640000343322754
101,0.29,2928,0.28703068326634645,1,0,,,0.2655644416809082
101,0.29,2943,0.2885011273404568,11,0,,,0.890416145324707
101,0.29,2985,0.2926183707479659,7,1,297.0,201.0,2.858703851699829
101,0.29,3063,0.3002646799333399,17,1,325.0,203.0,3.6856689453125
101,0.29,2968,0.2909518674639741,20,1,333.0,205.0,5.009854078292847
101,0.29,2930,0.2872267424762278,17,1,353.0,207.0,4.534289121627808
101,0.29,2857,0.2800705813155573,4,0,,,0.3740346431732178
101,0.29,2924,0.2866385648465837,15,1,325.0,203.0,5.5182716846466064
101,0.29,2934,0.2876188608959906,13,1,289.0,205.0,3.275238513946533
101,0.29,2971,0.2912459562787962,14,1,307.0,203.0,3.4317855834960938
