Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Trajectory_length,Outcome,Time_taken
101,0.01,88,0.008626605234780904,29,201.0,201.0,203.0,1,0.0388944149017334
101,0.01,96,0.00941084207430644,10200,201.0,201.0,201.0,1,0.09976315498352051
101,0.01,98,0.009606901284187825,7920,201.0,201.0,201.0,1,0.10067272186279297
101,0.01,102,0.009999019703950594,10201,201.0,201.0,201.0,1,0.043880462646484375
101,0.01,107,0.010489167728654054,4801,201.0,201.0,203.0,1,0.0755453109741211
101,0.01,85,0.008332516419958828,9164,201.0,201.0,201.0,1,0.062192440032958984
101,0.01,114,0.011175374963238898,1082,201.0,201.0,203.0,1,0.1839277744293213
101,0.01,121,0.011861582197823742,351,201.0,201.0,205.0,1,0.19324517250061035
101,0.01,104,0.010195078913831977,669,201.0,201.0,205.0,1,0.07852792739868164
101,0.01,108,0.010587197333594745,236,201.0,201.0,209.0,1,0.08716726303100586
101,0.01,112,0.010979315753357513,10045,201.0,201.0,201.0,1,0.13791918754577637
101,0.01,101,0.009900990099009901,4991,201.0,201.0,203.0,1,0.05089068412780762
101,0.01,97,0.009508871679247133,10201,201.0,201.0,201.0,1,0.04690861701965332
101,0.01,98,0.009606901284187825,1289,201.0,201.0,203.0,1,0.038927555084228516
101,0.01,106,0.010391138123713362,3288,201.0,201.0,209.0,1,0.28634071350097656
101,0.01,107,0.010489167728654054,1052,201.0,201.0,207.0,1,0.053924560546875
101,0.01,109,0.010685226938535438,4750,201.0,201.0,203.0,1,0.14390826225280762
101,0.01,81,0.00794039800019606,10201,201.0,201.0,201.0,1,0.03688240051269531
101,0.01,91,0.00892069404960298,189,201.0,201.0,205.0,1,0.05592608451843262
101,0.01,100,0.009802960494069209,7039,201.0,201.0,201.0,1,0.06955742835998535
101,0.01,87,0.008528575629840211,2018,201.0,201.0,203.0,1,0.09818577766418457
101,0.01,120,0.01176355259288305,477,201.0,201.0,205.0,1,0.09873533248901367
101,0.01,98,0.009606901284187825,1839,201.0,201.0,203.0,1,0.044542551040649414
101,0.01,107,0.010489167728654054,7497,201.0,201.0,201.0,1,0.10371899604797363
101,0.01,91,0.00892069404960298,2014,201.0,201.0,205.0,1,0.06621050834655762
101,0.01,98,0.009606901284187825,2106,201.0,201.0,205.0,1,0.06658673286437988
101,0.01,104,0.010195078913831977,10201,201.0,201.0,201.0,1,0.05684518814086914
101,0.01,113,0.011077345358298206,9493,201.0,201.0,201.0,1,0.3621642589569092
101,0.01,98,0.009606901284187825,10183,201.0,201.0,201.0,1,0.09204769134521484
101,0.01,78,0.007646309185373983,5639,201.0,201.0,201.0,1,0.10918998718261719
101,0.01,97,0.009508871679247133,10201,201.0,201.0,201.0,1,0.04686284065246582
101,0.01,97,0.009508871679247133,10201,201.0,201.0,201.0,1,0.03893589973449707
101,0.01,105,0.01029310851877267,10200,201.0,201.0,201.0,1,0.05888819694519043
101,0.01,116,0.011371434173120282,9703,201.0,201.0,201.0,1,0.12143945693969727
101,0.01,100,0.009802960494069209,431,201.0,201.0,205.0,1,0.05186176300048828
101,0.01,104,0.010195078913831977,317,201.0,201.0,203.0,1,0.08677196502685547
101,0.01,84,0.008234486815018136,1362,201.0,201.0,203.0,1,0.044878482818603516
101,0.01,99,0.009704930889128516,4987,201.0,201.0,209.0,1,0.17887091636657715
101,0.01,109,0.010685226938535438,7920,201.0,201.0,201.0,1,0.08819317817687988
101,0.01,102,0.009999019703950594,5638,201.0,201.0,201.0,1,0.09719347953796387
101,0.01,78,0.007646309185373983,5827,201.0,201.0,201.0,1,0.09214067459106445
101,0.01,99,0.009704930889128516,2493,201.0,201.0,203.0,1,0.0509340763092041
101,0.01,116,0.011371434173120282,5422,201.0,201.0,203.0,1,0.07851767539978027
101,0.01,103,0.010097049308891284,5433,201.0,201.0,203.0,1,0.1435256004333496
101,0.01,107,0.010489167728654054,282,201.0,201.0,207.0,1,0.11402058601379395
101,0.01,97,0.009508871679247133,1215,201.0,201.0,205.0,1,0.04185199737548828
101,0.01,88,0.008626605234780904,5241,201.0,201.0,203.0,1,0.07254886627197266
101,0.01,95,0.009312812469365748,606,201.0,201.0,207.0,1,0.06767749786376953
101,0.01,109,0.010685226938535438,93,201.0,201.0,205.0,1,0.09019088745117188
101,0.01,111,0.010881286148416823,113,201.0,201.0,205.0,1,0.06389331817626953
101,0.01,93,0.009116753259484365,1016,201.0,201.0,203.0,1,0.14696931838989258
101,0.01,91,0.00892069404960298,6713,201.0,201.0,201.0,1,0.11314821243286133
101,0.01,103,0.010097049308891284,10201,201.0,201.0,201.0,1,0.037900447845458984
101,0.01,124,0.012155671012645818,282,201.0,201.0,205.0,1,0.14271831512451172
101,0.01,90,0.008822664444662289,10201,201.0,201.0,201.0,1,0.04487967491149902
101,0.01,103,0.010097049308891284,3646,201.0,201.0,205.0,1,0.09413909912109375
101,0.01,103,0.010097049308891284,2107,201.0,201.0,203.0,1,0.07953929901123047
101,0.01,113,0.011077345358298206,2201,201.0,201.0,203.0,1,0.03990793228149414
101,0.01,100,0.009802960494069209,10201,201.0,201.0,201.0,1,0.037485599517822266
101,0.01,126,0.012351730222527203,354,201.0,201.0,203.0,1,0.052855491638183594
101,0.01,86,0.00843054602489952,1589,201.0,201.0,207.0,1,0.062076568603515625
101,0.01,112,0.010979315753357513,4460,201.0,201.0,203.0,1,0.13847947120666504
101,0.01,95,0.009312812469365748,719,201.0,201.0,205.0,1,0.13862872123718262
101,0.01,118,0.011567493383001667,29,201.0,201.0,207.0,1,0.07463717460632324
101,0.01,117,0.011469463778060974,10201,201.0,201.0,201.0,1,0.03490328788757324
101,0.01,106,0.010391138123713362,1362,201.0,201.0,203.0,1,0.08374214172363281
101,0.01,105,0.01029310851877267,162,201.0,201.0,203.0,1,0.07499575614929199
101,0.01,108,0.010587197333594745,10201,201.0,201.0,201.0,1,0.042852163314819336
101,0.01,104,0.010195078913831977,282,201.0,201.0,207.0,1,0.06557750701904297
101,0.01,107,0.010489167728654054,2903,201.0,201.0,203.0,1,0.08314681053161621
101,0.01,104,0.010195078913831977,4801,201.0,201.0,203.0,1,0.10578489303588867
101,0.01,98,0.009606901284187825,618,201.0,201.0,205.0,1,0.188232421875
101,0.01,103,0.010097049308891284,1149,201.0,201.0,203.0,1,0.09255480766296387
101,0.01,91,0.00892069404960298,5296,201.0,201.0,203.0,1,0.08915305137634277
101,0.01,121,0.011861582197823742,10201,201.0,201.0,201.0,1,0.07172989845275879
101,0.01,91,0.00892069404960298,10198,201.0,201.0,201.0,1,0.22449612617492676
101,0.01,102,0.009999019703950594,10201,201.0,201.0,201.0,1,0.03490567207336426
101,0.01,97,0.009508871679247133,10155,201.0,201.0,201.0,1,0.10677433013916016
101,0.01,99,0.009704930889128516,10201,201.0,201.0,201.0,1,0.06281089782714844
101,0.01,83,0.008136457210077443,7919,201.0,201.0,201.0,1,0.21062302589416504
101,0.01,99,0.009704930889128516,57,201.0,201.0,203.0,1,0.08532547950744629
101,0.01,88,0.008626605234780904,10201,201.0,201.0,201.0,1,0.03989243507385254
101,0.01,106,0.010391138123713362,5360,201.0,201.0,203.0,1,0.06781768798828125
101,0.01,112,0.010979315753357513,392,201.0,201.0,207.0,1,0.08976173400878906
101,0.01,101,0.009900990099009901,10201,201.0,201.0,201.0,1,0.04587244987487793
101,0.01,121,0.011861582197823742,162,201.0,201.0,205.0,1,0.05159330368041992
101,0.01,106,0.010391138123713362,1756,201.0,201.0,203.0,1,0.1107017993927002
101,0.01,99,0.009704930889128516,10185,201.0,201.0,201.0,1,0.07953953742980957
101,0.01,88,0.008626605234780904,10201,201.0,201.0,201.0,1,0.03702425956726074
101,0.01,102,0.009999019703950594,4803,201.0,201.0,203.0,1,0.10369133949279785
101,0.01,102,0.009999019703950594,10155,201.0,201.0,201.0,1,0.07242059707641602
101,0.01,99,0.009704930889128516,10201,201.0,201.0,201.0,1,0.04887962341308594
101,0.01,117,0.011469463778060974,5271,201.0,201.0,203.0,1,0.05662083625793457
101,0.01,98,0.009606901284187825,5319,201.0,201.0,203.0,1,0.10813331604003906
101,0.01,82,0.00803842760513675,4460,201.0,201.0,205.0,1,0.12971758842468262
101,0.01,99,0.009704930889128516,9252,201.0,201.0,201.0,1,0.07831501960754395
101,0.01,102,0.009999019703950594,9419,201.0,201.0,201.0,1,0.07033014297485352
101,0.01,103,0.010097049308891284,3291,201.0,201.0,203.0,1,0.11981391906738281
101,0.01,97,0.009508871679247133,1017,201.0,201.0,205.0,1,0.07975196838378906
