Dimension,Probability,No_of_blocks,Density,Total_Cells_Discovered,Total_Blocked_Cells_Discovered,Manhattan_outcome,Manhattan_Trajectory_length,Manhattan_Actual_length,Time_taken
101,0.09,915,0.08969708852073326,473,34,1,207.0,207.0,0.03124380111694336
101,0.09,919,0.09008920694049603,530,47,1,229.0,211.0,0.03124213218688965
101,0.09,874,0.08567787471816489,512,50,1,225.0,221.0,0.04888272285461426
101,0.09,960,0.0941084207430644,507,40,1,221.0,215.0,0.03124213218688965
101,0.09,910,0.0892069404960298,514,41,1,221.0,217.0,0.06247973442077637
101,0.09,915,0.08969708852073326,565,64,1,251.0,231.0,0.031208515167236328
101,0.09,911,0.0893049701009705,485,44,1,217.0,215.0,0.031243085861206055
101,0.09,924,0.09057935496519949,497,41,1,225.0,217.0,0.04686427116394043
101,0.09,916,0.08979511812567395,495,43,1,237.0,227.0,0.04686427116394043
101,0.09,983,0.09636310165670033,491,48,1,221.0,215.0,0.04686117172241211
101,0.09,886,0.08685422997745319,544,61,1,241.0,229.0,0.0624847412109375
101,0.09,937,0.09185373982942849,456,38,1,217.0,217.0,0.029889822006225586
101,0.09,938,0.09195176943436918,517,55,1,227.0,219.0,0.038376569747924805
101,0.09,939,0.09204979903930988,513,53,1,221.0,219.0,0.07810354232788086
101,0.09,930,0.09116753259484364,508,53,1,221.0,215.0,0.04686403274536133
101,0.09,890,0.08724634839721596,511,44,1,223.0,217.0,0.04686427116394043
101,0.09,923,0.0904813253602588,508,50,1,219.0,213.0,0.04686474800109863
101,0.09,926,0.09077541417508088,510,37,1,215.0,213.0,0.031241893768310547
101,0.09,895,0.08773649642191941,508,54,1,243.0,221.0,0.04686450958251953
101,0.09,911,0.0893049701009705,501,46,1,225.0,217.0,0.04686284065246582
101,0.09,911,0.0893049701009705,527,46,1,231.0,221.0,0.05521893501281738
101,0.09,857,0.08401137143417312,471,38,1,213.0,211.0,0.028609275817871094
101,0.09,900,0.08822664444662288,523,44,1,229.0,225.0,0.046866655349731445
101,0.09,926,0.09077541417508088,494,39,1,223.0,215.0,0.046863555908203125
101,0.09,875,0.08577590432310558,499,43,1,231.0,221.0,0.04682588577270508
101,0.09,830,0.08136457210077444,492,33,1,213.0,213.0,0.01561737060546875
101,0.09,914,0.08959905891579258,426,28,1,219.0,213.0,0.015618562698364258
101,0.09,912,0.08940299970591119,501,37,1,215.0,213.0,0.046863555908203125
101,0.09,921,0.09028526615037741,477,35,1,219.0,213.0,0.04686689376831055
101,0.09,944,0.09253994706401333,533,57,0,,,0.5964980125427246
101,0.09,907,0.08891285168120773,505,47,1,217.0,213.0,0.07180619239807129
101,0.09,943,0.09244191745907264,483,41,1,213.0,211.0,0.062486886978149414
101,0.09,909,0.0891089108910891,508,35,1,219.0,219.0,0.031241655349731445
101,0.09,941,0.09224585824919125,515,48,1,217.0,213.0,0.06252169609069824
101,0.09,895,0.08773649642191941,498,48,1,225.0,215.0,0.046863555908203125
101,0.09,887,0.08695225958239389,516,36,1,223.0,219.0,0.03124547004699707
101,0.09,934,0.0915596510146064,510,50,1,219.0,215.0,0.046865224838256836
101,0.09,951,0.09322615429859818,495,41,1,221.0,217.0,0.03124403953552246
101,0.09,936,0.0917557102244878,516,54,1,237.0,229.0,0.06248831748962402
101,0.09,871,0.08538378590334281,494,45,1,219.0,213.0,0.03124547004699707
101,0.09,941,0.09224585824919125,465,38,1,229.0,215.0,0.028976917266845703
101,0.09,887,0.08695225958239389,506,43,1,215.0,207.0,0.062456369400024414
101,0.09,899,0.08812861484168219,491,39,1,219.0,213.0,0.03123950958251953
101,0.09,909,0.0891089108910891,516,39,1,227.0,217.0,0.03124380111694336
101,0.09,971,0.09518674639741202,517,51,1,225.0,217.0,0.09614849090576172
101,0.13,1289,0.1263601607685521,532,69,1,229.0,217.0,0.04686427116394043
101,0.13,1348,0.13214390746005295,516,66,1,229.0,215.0,0.062485456466674805
101,0.13,1258,0.12332124301539064,3,2,0,,,0.015620708465576172
101,0.13,1370,0.13430055876874816,503,59,1,219.0,215.0,0.06688857078552246
101,0.13,1350,0.13233996666993433,521,69,1,239.0,225.0,0.05233931541442871
101,0.13,1283,0.12577198313890794,528,62,1,231.0,225.0,0.0781393051147461
101,0.13,1311,0.12851681207724733,535,82,1,263.0,235.0,0.062491416931152344
101,0.13,1314,0.1288109008920694,523,57,1,249.0,227.0,0.04686760902404785
101,0.13,1371,0.13439858837368884,527,69,1,241.0,225.0,0.046871185302734375
101,0.13,1264,0.1239094206450348,514,57,1,245.0,227.0,0.04686760902404785
101,0.13,1310,0.12841878247230665,526,67,1,261.0,225.0,0.04686546325683594
101,0.13,1301,0.1275365160278404,515,66,1,237.0,223.0,0.049208879470825195
101,0.13,1311,0.12851681207724733,524,62,1,227.0,219.0,0.047975778579711914
101,0.13,1360,0.13332026271934125,530,76,1,233.0,223.0,0.0625143051147461
101,0.13,1311,0.12851681207724733,525,81,1,241.0,223.0,0.09369897842407227
101,0.13,1306,0.12802666405254387,540,69,1,239.0,217.0,0.07811474800109863
101,0.13,1287,0.12616410155867072,526,72,1,235.0,223.0,0.0624847412109375
101,0.13,1375,0.13479070679345162,526,66,1,225.0,209.0,0.062485456466674805
101,0.13,1361,0.13341829232428193,3,2,0,,,0.015620708465576172
101,0.13,1333,0.13067346338594255,531,68,1,233.0,223.0,0.07420873641967773
101,0.13,1358,0.13312420350945986,521,53,1,229.0,217.0,0.04690074920654297
101,0.13,1277,0.1251838055092638,516,70,1,231.0,213.0,0.06244993209838867
101,0.13,1350,0.13233996666993433,532,81,1,243.0,225.0,0.0624852180480957
101,0.13,1319,0.12930104891677285,529,55,1,233.0,217.0,0.07810807228088379
101,0.13,1276,0.1250857759043231,500,54,1,225.0,221.0,0.046863555908203125
101,0.13,1335,0.13086952259582393,486,60,1,229.0,219.0,0.04686379432678223
101,0.13,1420,0.13920203901578276,512,62,1,225.0,215.0,0.062485694885253906
101,0.13,1282,0.12567395353396726,549,68,1,247.0,225.0,0.053211212158203125
101,0.13,1420,0.13920203901578276,570,89,1,261.0,239.0,0.09372687339782715
101,0.13,1360,0.13332026271934125,556,68,1,245.0,237.0,0.046864986419677734
101,0.13,1297,0.12714439760807764,571,80,1,247.0,233.0,0.06249213218688965
101,0.13,1362,0.13351632192922264,544,80,1,249.0,225.0,0.09373259544372559
101,0.13,1331,0.13047740417606116,477,53,1,223.0,215.0,0.04685568809509277
101,0.13,1346,0.13194784825017156,545,79,1,253.0,225.0,0.06514358520507812
101,0.13,1368,0.13410449955886677,510,66,1,229.0,221.0,0.06252002716064453
101,0.13,1346,0.13194784825017156,526,70,1,249.0,229.0,0.06248664855957031
101,0.13,1329,0.1302813449661798,578,76,1,263.0,231.0,0.056876182556152344
101,0.13,1329,0.1302813449661798,556,70,1,245.0,227.0,0.0624849796295166
101,0.13,1320,0.12939907852171356,523,71,1,251.0,231.0,0.04796624183654785
101,0.13,1313,0.12871287128712872,531,74,1,237.0,223.0,0.0781104564666748
101,0.13,1359,0.13322223311440054,535,61,1,235.0,223.0,0.06418228149414062
101,0.13,1296,0.12704636800313696,479,58,1,215.0,213.0,0.049253225326538086
101,0.13,1316,0.12900696010195079,517,73,1,239.0,221.0,0.06244492530822754
101,0.13,1360,0.13332026271934125,545,65,1,239.0,223.0,0.0624847412109375
101,0.13,1324,0.12979119694147634,525,63,1,241.0,225.0,0.04686450958251953
101,0.13,1246,0.12214488775610234,527,70,1,239.0,223.0,0.04686379432678223
101,0.13,1322,0.12959513773159495,528,69,0,,,0.5929262638092041
101,0.13,1341,0.1314577002254681,568,78,1,255.0,237.0,0.06851029396057129
101,0.13,1358,0.13312420350945986,530,70,1,237.0,215.0,0.05132341384887695
101,0.13,1371,0.13439858837368884,551,82,1,253.0,231.0,0.0781095027923584
101,0.17,1776,0.17410057837466916,8,4,0,,,0.01562190055847168
101,0.17,1767,0.17321831193020293,663,128,1,327.0,247.0,0.10934972763061523
101,0.17,1719,0.1685128908930497,567,96,1,253.0,227.0,0.09372782707214355
101,0.17,1760,0.17253210469561808,537,91,1,249.0,223.0,0.06248354911804199
101,0.17,1709,0.16753259484364277,570,99,1,257.0,223.0,0.062482357025146484
101,0.17,1766,0.17312028232526222,594,114,1,267.0,231.0,0.09542083740234375
101,0.17,1802,0.17664934810312716,605,122,1,273.0,235.0,0.10938668251037598
101,0.17,1792,0.17566905205372021,548,100,1,249.0,225.0,0.07810330390930176
101,0.17,1745,0.17106166062150768,539,86,1,235.0,229.0,0.07810711860656738
101,0.17,1661,0.16282717380648956,572,76,1,253.0,233.0,0.06248331069946289
101,0.17,1766,0.17312028232526222,569,94,1,259.0,227.0,0.07947468757629395
101,0.17,1750,0.17155180864621117,531,87,1,231.0,213.0,0.0781407356262207
101,0.17,1758,0.1723360454857367,556,100,1,247.0,223.0,0.10934901237487793
101,0.17,1675,0.16419958827565925,577,104,1,267.0,235.0,0.09372830390930176
101,0.17,1706,0.1672385060288207,583,99,1,257.0,229.0,0.09372711181640625
101,0.17,1730,0.1695912165473973,550,84,1,241.0,231.0,0.08014750480651855
101,0.17,1739,0.17047348299186355,569,91,1,255.0,229.0,0.07810401916503906
101,0.17,1752,0.17174786785609253,524,88,1,229.0,219.0,0.09372735023498535
101,0.17,1715,0.16812077247328694,574,104,1,255.0,225.0,0.0937654972076416
101,0.17,1788,0.17527693363395747,531,94,1,245.0,223.0,0.07810306549072266
101,0.17,1705,0.16714047642388002,613,105,1,287.0,251.0,0.10139608383178711
101,0.17,1778,0.17429663758455052,567,110,1,257.0,235.0,0.07814455032348633
101,0.17,1721,0.16870895010293108,547,88,1,241.0,221.0,0.09373211860656738
101,0.17,1656,0.1623370257817861,643,104,1,301.0,257.0,0.09373116493225098
101,0.17,1714,0.16802274286834623,565,100,1,255.0,233.0,0.062485456466674805
101,0.17,1729,0.16949318694245663,566,85,1,249.0,223.0,0.07810568809509277
101,0.17,1719,0.1685128908930497,579,92,1,261.0,221.0,0.11145257949829102
101,0.17,1692,0.165866091559651,522,80,1,225.0,211.0,0.07810449600219727
101,0.17,1739,0.17047348299186355,571,94,1,265.0,241.0,0.07810711860656738
101,0.17,1799,0.17635525928830506,531,84,1,239.0,221.0,0.0624852180480957
101,0.17,1732,0.1697872757572787,543,83,1,239.0,221.0,0.07810640335083008
101,0.17,1716,0.16821880207822762,633,117,1,295.0,235.0,0.12106132507324219
101,0.17,1713,0.16792471326340555,638,123,0,,,0.6153581142425537
101,0.17,1664,0.16312126262131163,573,92,1,269.0,233.0,0.08546590805053711
101,0.17,1762,0.17272816390549947,589,118,1,275.0,227.0,0.12500762939453125
101,0.17,1830,0.1793941770414665,525,86,0,,,0.6192145347595215
101,0.17,1735,0.17008136457210077,579,102,1,261.0,227.0,0.11969518661499023
101,0.17,1761,0.17263013430055876,588,106,1,275.0,245.0,0.10934925079345703
101,0.17,1741,0.17066954220174493,530,94,1,235.0,217.0,0.0781402587890625
101,0.17,1751,0.17164983825115185,582,103,1,289.0,231.0,0.07810306549072266
101,0.17,1722,0.16880697970787178,572,77,1,257.0,237.0,0.06248021125793457
101,0.17,1721,0.16870895010293108,603,94,1,293.0,235.0,0.07350897789001465
101,0.17,1787,0.17517890402901676,594,108,1,281.0,245.0,0.07806706428527832
101,0.17,1768,0.1733163415351436,580,96,1,261.0,229.0,0.06941795349121094
101,0.17,1751,0.17164983825115185,525,92,0,,,0.6468992233276367
101,0.17,1723,0.16890500931281247,569,94,1,263.0,229.0,0.08021068572998047
101,0.17,1755,0.17204195667091463,578,94,1,275.0,241.0,0.07807111740112305
101,0.17,1745,0.17106166062150768,526,97,1,239.0,221.0,0.08713912963867188
101,0.17,1718,0.168414861288109,558,103,1,255.0,221.0,0.10935020446777344
101,0.17,1801,0.17655131849818645,560,104,1,253.0,231.0,0.07810616493225098
101,0.21,2128,0.20860699931379276,5,3,0,,,0.015621185302734375
101,0.21,2098,0.205666111165572,574,118,1,273.0,231.0,0.12497067451477051
101,0.21,2084,0.20429369669640232,668,142,1,307.0,253.0,0.12671899795532227
101,0.21,2172,0.21292030193118322,616,122,1,291.0,231.0,0.07910966873168945
101,0.21,2185,0.2141946867954122,583,129,1,259.0,223.0,0.12497067451477051
101,0.21,2182,0.21390059798059013,3,2,0,,,0.015621185302734375
101,0.21,2123,0.2081168512890893,562,119,1,257.0,229.0,0.10934925079345703
101,0.21,2105,0.20635231840015686,610,127,1,301.0,233.0,0.13431191444396973
101,0.21,2175,0.2132143907460053,632,156,1,307.0,235.0,0.13599276542663574
101,0.21,2147,0.2104695618076659,596,124,1,267.0,237.0,0.10934662818908691
101,0.21,2084,0.20429369669640232,619,135,1,283.0,245.0,0.15621256828308105
101,0.21,2181,0.21380256837564945,552,109,1,247.0,227.0,0.11148214340209961
101,0.21,2117,0.20752867365944516,726,174,1,361.0,255.0,0.12497067451477051
101,0.21,2168,0.21252818351142044,609,144,1,289.0,229.0,0.14059185981750488
101,0.21,2200,0.2156651308695226,3,2,0,,,0.0
101,0.21,2094,0.20527399274580924,587,113,1,269.0,223.0,0.10935115814208984
101,0.21,2136,0.2093912361533183,633,129,1,289.0,243.0,0.08017683029174805
101,0.21,2186,0.2142927164003529,659,144,1,307.0,261.0,0.15621495246887207
101,0.21,2126,0.20841094010391137,602,128,1,287.0,239.0,0.10934901237487793
101,0.21,2131,0.20890108812861485,694,159,1,327.0,265.0,0.2041304111480713
101,0.21,2151,0.21086168022742868,608,135,1,291.0,239.0,0.10938191413879395
101,0.21,2118,0.20762670326438584,562,99,1,255.0,217.0,0.07810258865356445
101,0.21,2160,0.21174394667189492,597,107,1,263.0,233.0,0.09373235702514648
101,0.21,2134,0.20919517694343692,624,138,1,301.0,235.0,0.12497472763061523
101,0.21,2117,0.20752867365944516,669,149,1,301.0,273.0,0.11136221885681152
101,0.21,2100,0.20586217037545337,6,3,0,,,0.015618562698364258
101,0.21,2068,0.20272522301735124,583,126,1,273.0,221.0,0.10934185981750488
101,0.21,2110,0.20684246642486032,562,116,1,257.0,237.0,0.09373068809509277
101,0.21,2178,0.21350847956082736,743,168,1,381.0,249.0,0.14900851249694824
101,0.21,2182,0.21390059798059013,618,125,1,285.0,241.0,0.13413286209106445
101,0.21,2160,0.21174394667189492,639,140,1,309.0,237.0,0.1249704360961914
101,0.21,2129,0.20870502891873347,603,118,1,291.0,239.0,0.09372782707214355
101,0.21,2171,0.2128222723262425,648,135,1,291.0,251.0,0.10934925079345703
101,0.21,2210,0.21664542691892952,617,129,1,285.0,245.0,0.12148499488830566
101,0.21,2136,0.2093912361533183,6,3,0,,,0.0
101,0.21,2153,0.21105773943731007,559,111,1,247.0,227.0,0.12496781349182129
101,0.21,2122,0.20801882168414862,664,136,1,327.0,251.0,0.10934925079345703
101,0.21,2076,0.20350945985687677,587,120,1,269.0,227.0,0.09372687339782715
101,0.21,2168,0.21252818351142044,546,99,1,249.0,223.0,0.08879828453063965
101,0.21,2173,0.2130183315361239,537,93,1,245.0,209.0,0.07810783386230469
101,0.21,2157,0.21144985785707285,628,137,1,295.0,237.0,0.1249704360961914
101,0.21,2123,0.2081168512890893,618,121,1,285.0,241.0,0.10934925079345703
101,0.21,2130,0.20880305852367415,3,2,0,,,0.0
101,0.21,2173,0.2130183315361239,591,120,1,269.0,233.0,0.07810640335083008
101,0.21,2130,0.20880305852367415,613,135,1,283.0,229.0,0.09481930732727051
101,0.21,2027,0.19870600921478287,647,120,1,303.0,247.0,0.14055943489074707
101,0.21,2207,0.21635133810410745,620,132,1,293.0,241.0,0.10438203811645508
101,0.21,2125,0.2083129104989707,645,125,1,313.0,261.0,0.15799665451049805
101,0.21,2211,0.2167434565238702,592,127,0,,,0.5900604724884033
101,0.21,2124,0.20821488089403,574,113,1,261.0,237.0,0.10548734664916992
101,0.25,2603,0.25517106166062153,728,196,1,379.0,237.0,0.18745732307434082
101,0.25,2487,0.24379962748750122,711,173,1,353.0,251.0,0.1999804973602295
101,0.25,2506,0.24566218998137437,671,166,1,317.0,247.0,0.12497210502624512
101,0.25,2536,0.24860307812959515,622,145,1,301.0,229.0,0.1093451976776123
101,0.25,2525,0.24752475247524752,697,166,1,349.0,253.0,0.12497115135192871
101,0.25,2565,0.2514459366728752,707,192,0,,,0.7179300785064697
101,0.25,2517,0.246740515635722,756,191,1,405.0,253.0,0.18879079818725586
101,0.25,2560,0.25095578864817175,734,198,1,363.0,247.0,0.17261719703674316
101,0.25,2591,0.2539947064013332,611,126,1,283.0,237.0,0.09721612930297852
101,0.25,2472,0.24232918341339085,608,133,1,275.0,231.0,0.12955427169799805
101,0.25,2614,0.2562493873149691,575,134,1,263.0,227.0,0.09372758865356445
101,0.25,2558,0.2507597294382904,655,178,1,351.0,237.0,0.16577959060668945
101,0.25,2525,0.24752475247524752,733,183,1,375.0,269.0,0.17186522483825684
101,0.25,2604,0.2552690912655622,8,4,0,,,0.015620708465576172
101,0.25,2454,0.24056465052445838,643,153,1,307.0,233.0,0.1249697208404541
101,0.25,2562,0.2511518478580531,671,155,1,323.0,259.0,0.1270918846130371
101,0.25,2562,0.2511518478580531,540,123,1,255.0,219.0,0.09372615814208984
101,0.25,2577,0.2526222919321635,609,133,0,,,0.6268553733825684
101,0.25,2601,0.2549750024507401,590,155,1,267.0,229.0,0.1164085865020752
101,0.25,2572,0.25213214390746,652,163,0,,,0.6915621757507324
101,0.25,2519,0.24693657484560338,717,170,1,369.0,271.0,0.16342711448669434
101,0.25,2557,0.2506616998333497,669,157,1,313.0,251.0,0.09372711181640625
101,0.25,2544,0.24938731496912067,700,175,1,341.0,249.0,0.12497115135192871
101,0.25,2537,0.24870110773453583,887,209,1,515.0,257.0,0.2412853240966797
101,0.25,2480,0.24311342025291638,649,154,1,305.0,237.0,0.15621399879455566
101,0.25,2565,0.2514459366728752,629,140,1,293.0,233.0,0.13862872123718262
101,0.25,2552,0.2501715518086462,3,2,0,,,0.015659809112548828
101,0.25,2561,0.25105381825311246,779,202,1,397.0,245.0,0.171797513961792
101,0.25,2586,0.2535045583766297,680,168,1,345.0,245.0,0.16733622550964355
101,0.25,2535,0.24850504852465444,602,144,1,267.0,227.0,0.14620494842529297
101,0.25,2595,0.254386824821096,703,183,1,337.0,235.0,0.14059185981750488
101,0.25,2536,0.24860307812959515,7,4,0,,,0.015617609024047852
101,0.25,2551,0.25007352220370554,666,179,1,327.0,243.0,0.1249692440032959
101,0.25,2538,0.24879913733947653,545,112,1,247.0,229.0,0.0624842643737793
101,0.25,2545,0.24948534457406138,650,154,1,331.0,233.0,0.12912583351135254
101,0.25,2545,0.24948534457406138,675,176,1,353.0,233.0,0.14063000679016113
101,0.25,2537,0.24870110773453583,659,162,0,,,0.7082788944244385
101,0.25,2514,0.2464464268208999,615,142,1,285.0,239.0,0.12002301216125488
101,0.25,2614,0.2562493873149691,677,167,1,347.0,253.0,0.12948060035705566
101,0.25,2583,0.25321046956180765,591,151,0,,,0.7364709377288818
101,0.25,2580,0.2529163807469856,650,162,1,317.0,233.0,0.15567970275878906
101,0.25,2504,0.24546613077149299,596,140,0,,,0.7119064331054688
101,0.25,2536,0.24860307812959515,719,173,1,345.0,263.0,0.12237858772277832
101,0.25,2585,0.25340652877168907,3,2,0,,,0.01562976837158203
101,0.25,2567,0.2516419958827566,702,172,1,351.0,269.0,0.14058566093444824
