Dimension,Probability,No_of_blocks,Density,Cells_Processed,Shortest_Path_In_Final_Discovered_Grid,Shortest_Path_In_Full_Grid,Outcome,Trajectory_length,Time_taken
101,0.01,114,0.011175374963238898,415,205.0,205.0,1,205.0,0.013001680374145508
101,0.01,97,0.009508871679247133,399,201.0,201.0,1,201.0,0.008010149002075195
101,0.01,104,0.010195078913831977,415,203.0,203.0,1,205.0,0.013929128646850586
101,0.01,82,0.00803842760513675,417,203.0,203.0,1,203.0,0.011004209518432617
101,0.01,108,0.010587197333594745,440,203.0,203.0,1,203.0,0.018946409225463867
101,0.01,90,0.008822664444662289,425,201.0,201.0,1,201.0,0.016954660415649414
101,0.01,111,0.010881286148416823,402,203.0,203.0,1,203.0,0.007993698120117188
101,0.01,96,0.00941084207430644,405,205.0,205.0,1,205.0,0.009970903396606445
101,0.01,101,0.009900990099009901,399,201.0,201.0,1,201.0,0.008009195327758789
101,0.01,86,0.00843054602489952,445,203.0,203.0,1,203.0,0.022967100143432617
101,0.01,86,0.00843054602489952,408,207.0,207.0,1,207.0,0.00797724723815918
101,0.01,107,0.010489167728654054,399,201.0,201.0,1,201.0,0.011967897415161133
101,0.01,111,0.010881286148416823,491,203.0,203.0,1,203.0,0.027894258499145508
101,0.01,103,0.010097049308891284,434,201.0,201.0,1,201.0,0.01493978500366211
101,0.01,93,0.009116753259484365,402,203.0,203.0,1,203.0,0.012981653213500977
101,0.01,86,0.00843054602489952,399,201.0,201.0,1,201.0,0.0069468021392822266
101,0.01,100,0.009802960494069209,402,203.0,203.0,1,203.0,0.007979154586791992
101,0.01,103,0.010097049308891284,433,203.0,203.0,1,203.0,0.01200103759765625
101,0.01,94,0.009214782864425057,461,203.0,203.0,1,203.0,0.029919862747192383
101,0.01,94,0.009214782864425057,470,205.0,205.0,1,205.0,0.017949342727661133
101,0.01,123,0.012057641407705127,481,201.0,201.0,1,203.0,0.016955852508544922
101,0.01,98,0.009606901284187825,402,203.0,203.0,1,203.0,0.005017757415771484
101,0.01,109,0.010685226938535438,405,205.0,205.0,1,205.0,0.01000070571899414
101,0.01,103,0.010097049308891284,399,201.0,201.0,1,201.0,0.008980512619018555
101,0.01,110,0.01078325654347613,407,205.0,205.0,1,207.0,0.00498652458190918
