Dimension,Probability,No_of_blocks,Density,Manhattan_outcome,Manhattan_Trajectory_length,Manhattan_Actual_length
101,0.01,112,0.010979315753357513,1,201.0,201.0
101,0.01,123,0.012057641407705127,1,201.0,201.0
101,0.01,100,0.009802960494069209,1,201.0,201.0
101,0.01,93,0.009116753259484365,1,201.0,201.0
101,0.01,94,0.009214782864425057,1,203.0,201.0
101,0.01,103,0.010097049308891284,1,201.0,201.0
101,0.01,97,0.009508871679247133,1,201.0,201.0
101,0.01,110,0.01078325654347613,1,201.0,201.0
101,0.01,107,0.010489167728654054,1,201.0,201.0
101,0.01,94,0.009214782864425057,1,201.0,201.0
101,0.05,482,0.04725026958141359,1,201.0,201.0
101,0.05,491,0.048132536025879816,1,203.0,201.0
101,0.05,481,0.047152239976472894,1,201.0,201.0
101,0.05,490,0.04803450642093912,1,203.0,201.0
101,0.05,542,0.05313204587785511,1,203.0,201.0
101,0.05,500,0.04901480247034604,1,201.0,201.0
101,0.05,500,0.04901480247034604,1,205.0,201.0
101,0.05,523,0.05126948338398196,1,203.0,201.0
101,0.05,531,0.0520537202235075,1,205.0,201.0
101,0.05,562,0.055092637976668954,1,203.0,201.0
101,0.09,894,0.08763846681697873,1,211.0,201.0
101,0.09,864,0.08469757866875796,1,209.0,201.0
101,0.09,879,0.08616802274286835,1,205.0,201.0
101,0.09,884,0.0866581707675718,1,205.0,201.0
101,0.09,908,0.08901088128614841,1,207.0,201.0
101,0.09,923,0.0904813253602588,1,207.0,201.0
101,0.09,923,0.0904813253602588,1,207.0,201.0
101,0.09,889,0.08714831879227526,1,207.0,201.0
101,0.09,888,0.08705028918733458,1,205.0,201.0
101,0.09,927,0.09087344378002157,1,211.0,201.0
101,0.13,1346,0.13194784825017156,1,205.0,201.0
101,0.13,1268,0.12430153906479757,1,221.0,201.0
101,0.13,1304,0.12783060484266248,1,205.0,201.0
101,0.13,1328,0.1301833153612391,1,221.0,201.0
101,0.13,1337,0.13106558180570532,1,217.0,201.0
101,0.13,1294,0.12685030879325557,1,217.0,201.0
101,0.13,1344,0.13175178904029017,1,213.0,201.0
101,0.13,1368,0.13410449955886677,1,207.0,201.0
101,0.13,1310,0.12841878247230665,1,209.0,201.0
101,0.13,1298,0.12724242721301834,1,209.0,201.0
101,0.17,1652,0.16194490736202333,1,217.0,201.0
101,0.17,1705,0.16714047642388002,1,223.0,201.0
101,0.17,1732,0.1697872757572787,1,255.0,201.0
101,0.17,1663,0.16302323301637095,1,215.0,201.0
101,0.17,1739,0.17047348299186355,1,229.0,201.0
101,0.17,1727,0.16929712773257524,1,225.0,201.0
101,0.17,1707,0.16733653563376139,1,215.0,201.0
101,0.17,1760,0.17253210469561808,1,233.0,201.0
101,0.17,1752,0.17174786785609253,1,261.0,201.0
101,0.17,1743,0.17086560141162632,1,221.0,201.0
101,0.21,2090,0.20488187432604646,1,215.0,201.0
101,0.21,2180,0.21370453877070875,0,,
101,0.21,2083,0.2041956670914616,1,229.0,201.0
101,0.21,2121,0.2079207920792079,1,231.0,201.0
101,0.21,2089,0.20478384472110578,1,237.0,201.0
101,0.21,2116,0.20743064405450445,1,223.0,201.0
101,0.21,2201,0.21576316047446328,1,261.0,201.0
101,0.21,2120,0.20782276247426723,1,243.0,201.0
101,0.21,2174,0.2131163611410646,0,,
101,0.21,2146,0.21037153220272523,1,225.0,201.0
101,0.25,2550,0.24997549259876484,1,225.0,201.0
101,0.25,2517,0.246740515635722,1,219.0,201.0
101,0.25,2565,0.2514459366728752,0,,
101,0.25,2568,0.2517400254876973,1,281.0,201.0
101,0.25,2581,0.2530144103519263,1,249.0,203.0
101,0.25,2603,0.25517106166062153,0,,
101,0.25,2586,0.2535045583766297,0,,
101,0.25,2501,0.24517204195667092,1,247.0,201.0
101,0.25,2464,0.2415449465738653,1,259.0,201.0
101,0.25,2551,0.25007352220370554,1,253.0,201.0
101,0.29,2960,0.29016763062444856,0,,
101,0.29,2968,0.2909518674639741,1,321.0,209.0
101,0.29,2882,0.2825213214390746,0,,
101,0.29,2868,0.2811489069699049,0,,
101,0.29,2975,0.29163807469855896,0,,
101,0.29,2898,0.28408979511812565,0,,
101,0.29,2949,0.289089304970101,1,239.0,203.0
101,0.29,2919,0.2861484168218802,0,,
101,0.29,3006,0.2946769924517204,1,473.0,211.0
101,0.29,2957,0.2898735418096265,0,,
101,0.33,3378,0.3311440054896579,0,,
101,0.33,3433,0.33653563376139595,0,,
101,0.33,3370,0.33035976865013233,1,363.0,213.0
101,0.33,3439,0.3371238113910401,0,,
101,0.33,3314,0.32487011077345357,1,285.0,203.0
101,0.33,3327,0.3261444956376826,1,293.0,203.0
101,0.33,3457,0.33888834427997255,0,,
101,0.33,3352,0.32859523576119987,0,,
101,0.33,3332,0.32663464366238604,1,365.0,205.0
101,0.33,3340,0.3274188805019116,1,579.0,221.0
